signature,maxTargetSdk,presentAfter,publicAlternatives,returnType,trackingBug
|Ldalvik/system/VMRuntime;->getRuntime()Ldalvik/system/VMRuntime;|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->is64Bit()Z|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->is64BitAbi(Ljava/lang/String;)Z|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->newNonMovableArray(Ljava/lang/Class;I)Ljava/lang/Object;|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->registerNativeAllocation(I)V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->registerNativeAllocation(J)V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->registerNativeFree(I)V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->registerNativeFree(J)V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->runFinalization(J)V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->runFinalizationSync()V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->setMinimumHeapSize(J)J|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->setTargetHeapUtilization(F)F|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->setTargetSdkVersion(I)V|,|0|,||,|Use the {@code targetSdkVersion} attribute in the {@code uses-sdk} manifest tag instead.|,||,||
|Ldalvik/system/VMRuntime;->trackExternalAllocation(J)Z|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->trackExternalFree(J)V|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->vmInstructionSet()Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/VMRuntime;->vmLibrary()Ljava/lang/String;|,||,||,||,||,||
|Ldalvik/system/VMStack;->fillStackTraceElements(Ljava/lang/Thread;[Ljava/lang/StackTraceElement;)I|,||,||,||,||,||
|Ldalvik/system/VMStack;->getCallingClassLoader()Ljava/lang/ClassLoader;|,||,||,||,||,||
|Ldalvik/system/VMStack;->getStackClass2()Ljava/lang/Class;|,||,||,||,||,||
|Ldalvik/system/VMStack;->getThreadStackTrace(Ljava/lang/Thread;)[Ljava/lang/StackTraceElement;|,||,||,||,||,||
|Ljava/io/Console;->encoding()Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/io/File;->filePath:Ljava/nio/file/Path;|,|30|,||,||,||,|170729553|
|Ljava/io/File;->fs:Ljava/io/FileSystem;|,||,||,||,||,||
|Ljava/io/File;->path:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/io/File;->prefixLength:I|,|30|,||,||,||,|170729553|
|Ljava/io/File;->status:Ljava/io/File$PathStatus;|,|30|,||,||,||,|170729553|
|Ljava/io/FileDescriptor;->descriptor:I|,||,||,||,||,||
|Ljava/io/FileDescriptor;->getInt$()I|,||,||,||,||,||
|Ljava/io/FileDescriptor;->isSocket$()Z|,|30|,||,||,||,|170729553|
|Ljava/io/FileDescriptor;->setInt$(I)V|,||,||,||,||,||
|Ljava/io/FileInputStream;->fd:Ljava/io/FileDescriptor;|,|30|,||,||,||,|170729553|
|Ljava/io/FileOutputStream;->channel:Ljava/nio/channels/FileChannel;|,||,||,||,||,||
|Ljava/io/FileOutputStream;->fd:Ljava/io/FileDescriptor;|,|30|,||,||,||,|170729553|
|Ljava/io/FileSystem;->canonicalize(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Ljava/io/FileSystem;->checkAccess(Ljava/io/File;I)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->compare(Ljava/io/File;Ljava/io/File;)I|,||,||,||,||,||
|Ljava/io/FileSystem;->createDirectory(Ljava/io/File;)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->createFileExclusively(Ljava/lang/String;)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->delete(Ljava/io/File;)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->fromURIPath(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Ljava/io/FileSystem;->getBooleanAttributes(Ljava/io/File;)I|,||,||,||,||,||
|Ljava/io/FileSystem;->getDefaultParent()Ljava/lang/String;|,||,||,||,||,||
|Ljava/io/FileSystem;->getLastModifiedTime(Ljava/io/File;)J|,||,||,||,||,||
|Ljava/io/FileSystem;->getLength(Ljava/io/File;)J|,||,||,||,||,||
|Ljava/io/FileSystem;->getPathSeparator()C|,||,||,||,||,||
|Ljava/io/FileSystem;->getSeparator()C|,||,||,||,||,||
|Ljava/io/FileSystem;->getSpace(Ljava/io/File;I)J|,||,||,||,||,||
|Ljava/io/FileSystem;->hashCode(Ljava/io/File;)I|,||,||,||,||,||
|Ljava/io/FileSystem;->isAbsolute(Ljava/io/File;)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->list(Ljava/io/File;)[Ljava/lang/String;|,||,||,||,||,||
|Ljava/io/FileSystem;->listRoots()[Ljava/io/File;|,||,||,||,||,||
|Ljava/io/FileSystem;->normalize(Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Ljava/io/FileSystem;->prefixLength(Ljava/lang/String;)I|,||,||,||,||,||
|Ljava/io/FileSystem;->rename(Ljava/io/File;Ljava/io/File;)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->resolve(Ljava/io/File;)Ljava/lang/String;|,||,||,||,||,||
|Ljava/io/FileSystem;->resolve(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;|,||,||,||,||,||
|Ljava/io/FileSystem;->setLastModifiedTime(Ljava/io/File;J)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->setPermission(Ljava/io/File;IZZ)Z|,||,||,||,||,||
|Ljava/io/FileSystem;->setReadOnly(Ljava/io/File;)Z|,||,||,||,||,||
|Ljava/io/ObjectInputStream;->bin:Ljava/io/ObjectInputStream$BlockDataInputStream;|,||,||,||,||,||
|Ljava/io/ObjectInputStream;->bytesToDoubles([BI[DII)V|,||,||,||,||,||
|Ljava/io/ObjectInputStream;->bytesToFloats([BI[FII)V|,||,||,||,||,||
|Ljava/io/ObjectOutputStream;->protocol:I|,|30|,||,||,||,|170729553|
|Ljava/io/ObjectStreamClass;->computeDefaultSUID(Ljava/lang/Class;)J|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->computeFieldOffsets()V|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->fields:[Ljava/io/ObjectStreamField;|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->getConstructorId(Ljava/lang/Class;)J|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->getLocalDesc()Ljava/io/ObjectStreamClass;|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->getNumObjFields()I|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->getPrimDataSize()I|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->hasReadObjectMethod()Z|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->hasReadObjectNoDataMethod()Z|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->hasWriteObjectData()Z|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->newInstance()Ljava/lang/Object;|,||,||,||,||,||
|Ljava/io/ObjectStreamClass;->newInstance(Ljava/lang/Class;J)Ljava/lang/Object;|,||,||,||,||,||
|Ljava/io/ObjectStreamField;->getField()Ljava/lang/reflect/Field;|,||,||,||,||,||
|Ljava/io/RandomAccessFile;->fd:Ljava/io/FileDescriptor;|,|30|,||,||,||,|170729553|
|Ljava/lang/AbstractStringBuilder;->value:[C|,||,||,||,||,||
|Ljava/lang/Boolean;->value:Z|,|28|,||,||,||,||
|Ljava/lang/Byte;->toHexString(BZ)Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/Byte;->value:B|,|28|,||,||,||,||
|Ljava/lang/Character;->value:C|,|28|,||,||,||,||
|Ljava/lang/Class;-><init>()V|,||,||,||,||,||
|Ljava/lang/Class;->accessFlags:I|,||,||,||,||,||
|Ljava/lang/Class;->classLoader:Ljava/lang/ClassLoader;|,||,||,||,||,||
|Ljava/lang/Class;->clinitThreadId:I|,|30|,||,||,||,|170729553|
|Ljava/lang/Class;->dexCache:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/Class;->dexClassDefIndex:I|,||,||,||,||,||
|Ljava/lang/Class;->getDeclaredMethodsUnchecked(Z)[Ljava/lang/reflect/Method;|,||,||,||,||,||
|Ljava/lang/Class;->getMethod(Ljava/lang/String;[Ljava/lang/Class;Z)Ljava/lang/reflect/Method;|,||,||,||,||,||
|Ljava/lang/Class;->ifTable:[Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/Class;->name:Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/Class;->objectSize:I|,||,||,||,||,||
|Ljava/lang/Class;->status:I|,|30|,||,||,||,|170729553|
|Ljava/lang/ClassLoader;->parent:Ljava/lang/ClassLoader;|,||,||,||,||,||
|Ljava/lang/Daemons$Daemon;->isRunning()Z|,||,||,||,||,||
|Ljava/lang/Daemons$Daemon;->start()V|,||,||,||,||,||
|Ljava/lang/Daemons$Daemon;->stop()V|,||,||,||,||,||
|Ljava/lang/Daemons$Daemon;->thread:Ljava/lang/Thread;|,||,||,||,||,||
|Ljava/lang/Daemons$FinalizerDaemon;->INSTANCE:Ljava/lang/Daemons$FinalizerDaemon;|,||,||,||,||,||
|Ljava/lang/Daemons$FinalizerDaemon;->finalizingObject:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/Daemons$FinalizerWatchdogDaemon;->INSTANCE:Ljava/lang/Daemons$FinalizerWatchdogDaemon;|,||,||,||,||,||
|Ljava/lang/Daemons$ReferenceQueueDaemon;->INSTANCE:Ljava/lang/Daemons$ReferenceQueueDaemon;|,||,||,||,||,||
|Ljava/lang/Daemons;->MAX_FINALIZE_NANOS:J|,||,||,||,||,||
|Ljava/lang/Daemons;->requestHeapTrim()V|,||,||,||,||,||
|Ljava/lang/Daemons;->start()V|,||,||,||,||,||
|Ljava/lang/Daemons;->stop()V|,||,||,||,||,||
|Ljava/lang/DexCache;->dexFile:J|,||,||,||,||,||
|Ljava/lang/Double;->value:D|,|28|,||,||,||,||
|Ljava/lang/Enum;->getSharedConstants(Ljava/lang/Class;)[Ljava/lang/Enum;|,|30|,||,||,||,|170729553|
|Ljava/lang/Enum;->name:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/lang/Enum;->ordinal:I|,|30|,||,||,||,|170729553|
|Ljava/lang/Float;->value:F|,|28|,||,||,||,||
|Ljava/lang/Integer;->value:I|,|28|,||,||,||,||
|Ljava/lang/Long;->value:J|,|28|,||,||,||,||
|Ljava/lang/Object;->identityHashCode(Ljava/lang/Object;)I|,||,||,||,||,||
|Ljava/lang/Runtime;-><init>()V|,|30|,||,||,||,|170729553|
|Ljava/lang/Runtime;->load(Ljava/lang/String;Ljava/lang/ClassLoader;)V|,||,||,||,||,||
|Ljava/lang/Runtime;->loadLibrary(Ljava/lang/String;Ljava/lang/ClassLoader;)V|,||,||,||,||,||
|Ljava/lang/Runtime;->loadLibrary0(Ljava/lang/ClassLoader;Ljava/lang/String;)V|,||,||,||,||,||
|Ljava/lang/Runtime;->mLibPaths:[Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/Runtime;->nativeLoad(Ljava/lang/String;Ljava/lang/ClassLoader;)Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/Short;->value:S|,|28|,||,||,||,||
|Ljava/lang/StackTraceElement;->declaringClass:Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/StackTraceElement;->fileName:Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/StackTraceElement;->lineNumber:I|,||,||,||,||,||
|Ljava/lang/StackTraceElement;->methodName:Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/String;-><init>(II[C)V|,||,||,||,||,||
|Ljava/lang/String;->count:I|,||,||,||,||,||
|Ljava/lang/String;->getCharsNoCheck(II[CI)V|,|30|,||,||,||,|170729553|
|Ljava/lang/String;->hash:I|,|30|,||,||,||,|170729553|
|Ljava/lang/String;->indexOf([CII[CIII)I|,|30|,||,||,||,|170729553|
|Ljava/lang/String;->lastIndexOf([CII[CIII)I|,|30|,||,||,||,|170729553|
|Ljava/lang/System;-><init>()V|,|30|,||,||,||,|170729553|
|Ljava/lang/System;->arraycopy([BI[BII)V|,||,||,||,||,||
|Ljava/lang/System;->arraycopy([CI[CII)V|,||,||,||,||,||
|Ljava/lang/System;->arraycopy([FI[FII)V|,||,||,||,||,||
|Ljava/lang/System;->arraycopy([II[III)V|,||,||,||,||,||
|Ljava/lang/System;->arraycopy([JI[JII)V|,||,||,||,||,||
|Ljava/lang/System;->arraycopy([SI[SII)V|,||,||,||,||,||
|Ljava/lang/System;->arraycopy([ZI[ZII)V|,||,||,||,||,||
|Ljava/lang/System;->log(CLjava/lang/String;Ljava/lang/Throwable;)V|,|30|,||,||,||,|170729553|
|Ljava/lang/System;->logE(Ljava/lang/String;)V|,||,||,||,||,||
|Ljava/lang/System;->logE(Ljava/lang/String;Ljava/lang/Throwable;)V|,||,||,||,||,||
|Ljava/lang/System;->logW(Ljava/lang/String;Ljava/lang/Throwable;)V|,||,||,||,||,||
|Ljava/lang/Thread;-><init>(Ljava/lang/ThreadGroup;Ljava/lang/String;IZ)V|,|30|,||,||,||,|170729553|
|Ljava/lang/Thread;->contextClassLoader:Ljava/lang/ClassLoader;|,||,||,||,||,||
|Ljava/lang/Thread;->daemon:Z|,||,||,||,||,||
|Ljava/lang/Thread;->dispatchUncaughtException(Ljava/lang/Throwable;)V|,|30|,||,||,||,|170729553|
|Ljava/lang/Thread;->getUncaughtExceptionPreHandler()Ljava/lang/Thread$UncaughtExceptionHandler;|,||,||,||,||,||
|Ljava/lang/Thread;->group:Ljava/lang/ThreadGroup;|,||,||,||,||,||
|Ljava/lang/Thread;->inheritableThreadLocals:Ljava/lang/ThreadLocal$ThreadLocalMap;|,||,||,||,||,||
|Ljava/lang/Thread;->inheritedAccessControlContext:Ljava/security/AccessControlContext;|,||,||,||,||,||
|Ljava/lang/Thread;->lock:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/Thread;->name:Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/Thread;->nativePeer:J|,||,||,||,||,||
|Ljava/lang/Thread;->parkBlocker:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/Thread;->priority:I|,||,||,||,||,||
|Ljava/lang/Thread;->target:Ljava/lang/Runnable;|,||,||,||,||,||
|Ljava/lang/Thread;->threadLocals:Ljava/lang/ThreadLocal$ThreadLocalMap;|,||,||,|Please update to a current version of the {@code Streamsupport} library; older versions of {@code Streamsupport} do not support current versions of Android.|,||,||
|Ljava/lang/Thread;->threadSeqNumber:J|,||,||,||,||,||
|Ljava/lang/Thread;->uncaughtExceptionPreHandler:Ljava/lang/Thread$UncaughtExceptionHandler;|,||,||,||,||,||
|Ljava/lang/ThreadGroup;->add(Ljava/lang/Thread;)V|,|30|,||,||,||,|170729553|
|Ljava/lang/ThreadGroup;->groups:[Ljava/lang/ThreadGroup;|,||,||,||,||,||
|Ljava/lang/ThreadGroup;->mainThreadGroup:Ljava/lang/ThreadGroup;|,|30|,||,||,||,|170729553|
|Ljava/lang/ThreadGroup;->name:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/lang/ThreadGroup;->ngroups:I|,||,||,||,||,||
|Ljava/lang/ThreadGroup;->parent:Ljava/lang/ThreadGroup;|,||,||,||,||,||
|Ljava/lang/ThreadGroup;->systemThreadGroup:Ljava/lang/ThreadGroup;|,||,||,||,||,||
|Ljava/lang/ThreadGroup;->threadTerminated(Ljava/lang/Thread;)V|,|30|,||,||,||,|170729553|
|Ljava/lang/ThreadLocal;->getMap(Ljava/lang/Thread;)Ljava/lang/ThreadLocal$ThreadLocalMap;|,|30|,||,||,||,|170729553|
|Ljava/lang/Throwable;->backtrace:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/Throwable;->cause:Ljava/lang/Throwable;|,||,||,||,||,||
|Ljava/lang/Throwable;->detailMessage:Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/Throwable;->getOurStackTrace()[Ljava/lang/StackTraceElement;|,||,||,||,||,||
|Ljava/lang/Throwable;->nativeFillInStackTrace()Ljava/lang/Object;|,|30|,||,||,||,|170729553|
|Ljava/lang/Throwable;->printStackTrace(Ljava/lang/Throwable$PrintStreamOrWriter;)V|,||,||,||,||,||
|Ljava/lang/Throwable;->stackTrace:[Ljava/lang/StackTraceElement;|,||,||,||,||,||
|Ljava/lang/Throwable;->suppressedExceptions:Ljava/util/List;|,|30|,||,||,||,|170729553|
|Ljava/lang/UNIXProcess;->pid:I|,||,||,||,||,||
|Ljava/lang/Void;-><init>()V|,||,||,||,||,||
|Ljava/lang/invoke/MethodHandles$Lookup;-><init>(Ljava/lang/Class;I)V|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;-><init>(Ljava/lang/Class;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ILjava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;)V|,|30|,||,||,||,|170729553|
|Ljava/lang/invoke/SerializedLambda;->getCapturedArg(I)Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getCapturedArgCount()I|,|30|,||,||,||,|170729553|
|Ljava/lang/invoke/SerializedLambda;->getCapturingClass()Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/lang/invoke/SerializedLambda;->getFunctionalInterfaceClass()Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getFunctionalInterfaceMethodName()Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getFunctionalInterfaceMethodSignature()Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getImplClass()Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getImplMethodKind()I|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getImplMethodName()Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getImplMethodSignature()Ljava/lang/String;|,||,||,||,||,||
|Ljava/lang/invoke/SerializedLambda;->getInstantiatedMethodType()Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/lang/ref/FinalizerReference;->add(Ljava/lang/Object;)V|,||,||,||,||,||
|Ljava/lang/ref/FinalizerReference;->head:Ljava/lang/ref/FinalizerReference;|,||,||,||,||,||
|Ljava/lang/ref/FinalizerReference;->next:Ljava/lang/ref/FinalizerReference;|,||,||,||,||,||
|Ljava/lang/ref/FinalizerReference;->queue:Ljava/lang/ref/ReferenceQueue;|,||,||,||,||,||
|Ljava/lang/ref/FinalizerReference;->remove(Ljava/lang/ref/FinalizerReference;)V|,||,||,||,||,||
|Ljava/lang/ref/Reference;->getReferent()Ljava/lang/Object;|,|30|,||,||,||,|170729553|
|Ljava/lang/ref/Reference;->referent:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/lang/ref/ReferenceQueue;->add(Ljava/lang/ref/Reference;)V|,|30|,||,||,||,|170729553|
|Ljava/lang/reflect/AccessibleObject;->override:Z|,||,||,||,||,||
|Ljava/lang/reflect/Constructor;->serializationCopy(Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/reflect/Constructor;|,|30|,||,||,||,|170729553|
|Ljava/lang/reflect/Executable;->artMethod:J|,||,||,||,||,||
|Ljava/lang/reflect/Field;->accessFlags:I|,||,||,||,||,||
|Ljava/lang/reflect/Field;->getOffset()I|,||,||,||,||,||
|Ljava/lang/reflect/Parameter;-><init>(Ljava/lang/String;ILjava/lang/reflect/Executable;I)V|,|30|,||,||,||,|170729553|
|Ljava/lang/reflect/Proxy;->invoke(Ljava/lang/reflect/Proxy;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;|,|30|,||,||,||,|170729553|
|Ljava/net/AddressCache$AddressCacheEntry;-><init>(Ljava/lang/Object;)V|,||,||,||,||,||
|Ljava/net/AddressCache$AddressCacheEntry;->expiryNanos:J|,||,||,||,||,||
|Ljava/net/AddressCache$AddressCacheEntry;->value:Ljava/lang/Object;|,||,||,||,||,||
|Ljava/net/AddressCache$AddressCacheKey;->mHostname:Ljava/lang/String;|,||,||,||,||,||
|Ljava/net/AddressCache;->cache:Llibcore/util/BasicLruCache;|,||,||,||,||,||
|Ljava/net/Authenticator;->theAuthenticator:Ljava/net/Authenticator;|,||,||,||,||,||
|Ljava/net/DatagramSocket;->getFileDescriptor$()Ljava/io/FileDescriptor;|,||,||,||,||,||
|Ljava/net/DatagramSocket;->impl:Ljava/net/DatagramSocketImpl;|,||,||,||,||,||
|Ljava/net/HttpCookie;->assignors:Ljava/util/Map;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->comment:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->commentURL:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->domain:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->header:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->httpOnly:Z|,||,||,|Use {@link #setHttpOnly()}/{@link #isHttpOnly()} instead.|,||,||
|Ljava/net/HttpCookie;->maxAge:J|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->name:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->path:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->portlist:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->secure:Z|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->toDiscard:Z|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->tspecials:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->value:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->version:I|,|30|,||,||,||,|170729553|
|Ljava/net/HttpCookie;->whenCreated:J|,||,||,||,||,||
|Ljava/net/Inet4Address;-><init>()V|,|30|,||,||,||,|170729553|
|Ljava/net/Inet4Address;->ALL:Ljava/net/InetAddress;|,|30|,||,||,||,|170729553|
|Ljava/net/Inet4Address;->ANY:Ljava/net/InetAddress;|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6Address$Inet6AddressHolder;->ipaddress:[B|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6Address$Inet6AddressHolder;->scope_id:I|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6Address$Inet6AddressHolder;->scope_id_set:Z|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6Address$Inet6AddressHolder;->scope_ifname:Ljava/net/NetworkInterface;|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6Address;-><init>()V|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6Address;->ANY:Ljava/net/InetAddress;|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6Address;->holder6:Ljava/net/Inet6Address$Inet6AddressHolder;|,|30|,||,||,||,|170729553|
|Ljava/net/Inet6AddressImpl;->addressCache:Ljava/net/AddressCache;|,||,||,||,||,||
|Ljava/net/InetAddress$InetAddressHolder;->address:I|,|30|,||,||,||,|170729553|
|Ljava/net/InetAddress$InetAddressHolder;->family:I|,|30|,||,||,||,|170729553|
|Ljava/net/InetAddress$InetAddressHolder;->hostName:Ljava/lang/String;|,||,||,||,||,||
|Ljava/net/InetAddress$InetAddressHolder;->originalHostName:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/InetAddress;->clearDnsCache()V|,||,||,||,||,||
|Ljava/net/InetAddress;->getAllByNameOnNet(Ljava/lang/String;I)[Ljava/net/InetAddress;|,||,||,||,||,||
|Ljava/net/InetAddress;->holder()Ljava/net/InetAddress$InetAddressHolder;|,||,||,||,||,||
|Ljava/net/InetAddress;->holder:Ljava/net/InetAddress$InetAddressHolder;|,||,||,||,||,||
|Ljava/net/InetAddress;->isNumeric(Ljava/lang/String;)Z|,|28|,||,|Use {@code android.net.InetAddresses#isNumericAddress} instead. There is a behavioural difference between the original method and its replacement.|,||,|78686891|
|Ljava/net/InetAddress;->parseNumericAddress(Ljava/lang/String;)Ljava/net/InetAddress;|,|28|,||,|Use {@code android.net.InetAddresses#parseNumericAddress} instead. There is a behavioural difference between the original method and its replacement.|,||,|78686891|
|Ljava/net/InetSocketAddress;->holder:Ljava/net/InetSocketAddress$InetSocketAddressHolder;|,||,||,||,||,||
|Ljava/net/InterfaceAddress;-><init>()V|,|30|,||,||,||,|170729553|
|Ljava/net/PlainSocketImpl;-><init>()V|,||,||,||,||,||
|Ljava/net/Proxy;-><init>()V|,|30|,||,||,||,|170729553|
|Ljava/net/ServerSocket;->factory:Ljava/net/SocketImplFactory;|,|30|,||,||,||,|170729553|
|Ljava/net/Socket;->factory:Ljava/net/SocketImplFactory;|,|30|,||,||,||,|170729553|
|Ljava/net/Socket;->getFileDescriptor$()Ljava/io/FileDescriptor;|,||,||,||,||,||
|Ljava/net/Socket;->impl:Ljava/net/SocketImpl;|,||,||,||,||,||
|Ljava/net/SocketException;-><init>(Ljava/lang/String;Ljava/lang/Throwable;)V|,||,||,||,||,||
|Ljava/net/SocketImpl;->serverSocket:Ljava/net/ServerSocket;|,||,||,||,||,||
|Ljava/net/SocketImpl;->socket:Ljava/net/Socket;|,||,||,||,||,||
|Ljava/net/SocksSocketImpl;-><init>()V|,||,||,||,||,||
|Ljava/net/URI;->fragment:Ljava/lang/String;|,||,||,||,||,||
|Ljava/net/URI;->host:Ljava/lang/String;|,||,||,||,||,||
|Ljava/net/URI;->port:I|,||,||,||,||,||
|Ljava/net/URI;->query:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/URI;->string:Ljava/lang/String;|,||,||,||,||,||
|Ljava/net/URL;->factory:Ljava/net/URLStreamHandlerFactory;|,||,||,||,||,||
|Ljava/net/URL;->handler:Ljava/net/URLStreamHandler;|,||,||,||,||,||
|Ljava/net/URL;->handlers:Ljava/util/Hashtable;|,||,||,||,||,||
|Ljava/net/URL;->protocol:Ljava/lang/String;|,|30|,||,||,||,|170729553|
|Ljava/net/URLClassLoader;->acc:Ljava/security/AccessControlContext;|,||,||,||,||,||
|Ljava/net/URLClassLoader;->ucp:Lsun/misc/URLClassPath;|,||,||,||,||,||
|Ljava/nio/Buffer;->_elementSizeShift:I|,||,||,||,||,||
|Ljava/nio/Buffer;->address:J|,||,||,||,||,||
|Ljava/nio/Buffer;->capacity:I|,|30|,||,||,||,|170729553|
|Ljava/nio/Buffer;->limit:I|,||,||,||,||,||
|Ljava/nio/Buffer;->position:I|,||,||,||,||,||
|Ljava/nio/ByteBuffer;->clear()Ljava/nio/ByteBuffer;|,||,|28|,||,|Ljava/nio/ByteBuffer;|,||
|Ljava/nio/ByteBuffer;->flip()Ljava/nio/ByteBuffer;|,||,|28|,||,|Ljava/nio/ByteBuffer;|,||
|Ljava/nio/ByteBuffer;->hb:[B|,|30|,||,||,||,|170729553|
|Ljava/nio/ByteBuffer;->isReadOnly:Z|,|30|,||,||,||,|170729553|
|Ljava/nio/ByteBuffer;->limit(I)Ljava/nio/ByteBuffer;|,||,|28|,||,|Ljava/nio/ByteBuffer;|,||
|Ljava/nio/ByteBuffer;->mark()Ljava/nio/ByteBuffer;|,||,|28|,||,|Ljava/nio/ByteBuffer;|,||
|Ljava/nio/ByteBuffer;->offset:I|,|30|,||,||,||,|170729553|
