Landroid/provider/AsyncContentProvider$$ExternalSyntheticLambda0;->onResult(Landroid/os/Bundle;)V,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_IMAGE:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_NONE:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_PLAYLIST:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_SUBTITLE:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MEDIA_TYPE_VIDEO:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->MIME_TYPE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->PARENT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files$FileColumns;->STORAGE_ID:Ljava/lang/String;,max-target-r
Landroid/provider/MediaStore$Files$FileColumns;->TITLE:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Files;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Files;->getDirectoryUri(Ljava/lang/String;)Landroid/net/Uri;,lo-prio,max-target-o
Landroid/provider/MediaStore$Files;->getMtpObjectsUri(Ljava/lang/String;)Landroid/net/Uri;,unsupported
Landroid/provider/MediaStore$Files;->getMtpObjectsUri(Ljava/lang/String;J)Landroid/net/Uri;,unsupported
Landroid/provider/MediaStore$Files;->getMtpReferencesUri(Ljava/lang/String;J)Landroid/net/Uri;,unsupported
Landroid/provider/MediaStore$Images$ImageColumns;->BUCKET_DISPLAY_NAME:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Images$ImageColumns;->BUCKET_ID:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Images$ImageColumns;->DATE_TAKEN:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Images$ImageColumns;->DESCRIPTION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->EXPOSURE_TIME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->F_NUMBER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->GROUP_ID:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Images$ImageColumns;->ISO:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->IS_PRIVATE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->LATITUDE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->LONGITUDE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->MINI_THUMB_MAGIC:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->ORIENTATION:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Images$ImageColumns;->PICASA_ID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$ImageColumns;->SCENE_CAPTURE_TYPE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->CONTENT_TYPE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->getBitmap(Landroid/content/ContentResolver;Landroid/net/Uri;)Landroid/graphics/Bitmap;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->insertImage(Landroid/content/ContentResolver;Landroid/graphics/Bitmap;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->insertImage(Landroid/content/ContentResolver;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->query(Landroid/content/ContentResolver;Landroid/net/Uri;[Ljava/lang/String;)Landroid/database/Cursor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->query(Landroid/content/ContentResolver;Landroid/net/Uri;[Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Landroid/database/Cursor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Media;->query(Landroid/content/ContentResolver;Landroid/net/Uri;[Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;)Landroid/database/Cursor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->DATA:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->FULL_SCREEN_KIND:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->HEIGHT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->IMAGE_ID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->KIND:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->MICRO_KIND:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->MINI_KIND:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->THUMB_DATA:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->WIDTH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->cancelThumbnailRequest(Landroid/content/ContentResolver;J)V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->cancelThumbnailRequest(Landroid/content/ContentResolver;JJ)V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->getKindSize(I)Landroid/util/Size;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->getThumbnail(Landroid/content/ContentResolver;JILandroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->getThumbnail(Landroid/content/ContentResolver;JJILandroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->query(Landroid/content/ContentResolver;Landroid/net/Uri;[Ljava/lang/String;)Landroid/database/Cursor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->queryMiniThumbnail(Landroid/content/ContentResolver;JI[Ljava/lang/String;)Landroid/database/Cursor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images$Thumbnails;->queryMiniThumbnails(Landroid/content/ContentResolver;Landroid/net/Uri;I[Ljava/lang/String;)Landroid/database/Cursor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Images;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$InternalThumbnails;-><init>()V,lo-prio,max-target-o
Landroid/provider/MediaStore$MediaColumns;->ALBUM:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->ALBUM_ARTIST:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->ARTIST:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->AUTHOR:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->BITRATE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->BUCKET_DISPLAY_NAME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->BUCKET_ID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->CAPTURE_FRAMERATE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->CD_TRACK_NUMBER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->COMPILATION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->COMPOSER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DATA:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DATE_ADDED:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DATE_EXPIRES:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DATE_MODIFIED:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DATE_TAKEN:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DISC_NUMBER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DISPLAY_NAME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DOCUMENT_ID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->DURATION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->GENERATION_ADDED:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->GENERATION_MODIFIED:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->GENRE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->GROUP_ID:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$MediaColumns;->HEIGHT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->INSTANCE_ID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->IS_DOWNLOAD:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->IS_DRM:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->IS_FAVORITE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->IS_PENDING:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->IS_TRASHED:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->MIME_TYPE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->NUM_TRACKS:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->ORIENTATION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->ORIGINAL_DOCUMENT_ID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->OWNER_PACKAGE_NAME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->RELATIVE_PATH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->RESOLUTION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->SIZE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->TITLE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->VOLUME_NAME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->WIDTH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->WRITER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->XMP:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$MediaColumns;->YEAR:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->DATA:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->DATE_TAKEN:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->DISPLAY_NAME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->DURATION_MILLIS:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->HEIGHT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->MIME_TYPE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->ORIENTATION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->SIZE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$PickerMediaColumns;->WIDTH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Media;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Media;->CONTENT_TYPE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Media;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Media;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Media;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Media;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Media;->getContentUri(Ljava/lang/String;J)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->DATA:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->EXTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->FULL_SCREEN_KIND:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->HEIGHT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->INTERNAL_CONTENT_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->KIND:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->MICRO_KIND:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->MINI_KIND:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->VIDEO_ID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->WIDTH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->cancelThumbnailRequest(Landroid/content/ContentResolver;J)V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->cancelThumbnailRequest(Landroid/content/ContentResolver;JJ)V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->getContentUri(Ljava/lang/String;)Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->getKindSize(I)Landroid/util/Size;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->getThumbnail(Landroid/content/ContentResolver;JILandroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$Thumbnails;->getThumbnail(Landroid/content/ContentResolver;JJILandroid/graphics/BitmapFactory$Options;)Landroid/graphics/Bitmap;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->ALBUM:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->ARTIST:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->BOOKMARK:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->BUCKET_DISPLAY_NAME:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->BUCKET_ID:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->CATEGORY:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->COLOR_RANGE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->COLOR_STANDARD:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->COLOR_TRANSFER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->DATE_TAKEN:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->DESCRIPTION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->DURATION:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->GROUP_ID:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->IS_PRIVATE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->LANGUAGE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->LATITUDE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->LONGITUDE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->MINI_THUMB_MAGIC:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video$VideoColumns;->RESOLUTION:Ljava/lang/String;,removed,unsupported
Landroid/provider/MediaStore$Video$VideoColumns;->TAGS:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video;->DEFAULT_SORT_ORDER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore$Video;->query(Landroid/content/ContentResolver;Landroid/net/Uri;[Ljava/lang/String;)Landroid/database/Cursor;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;-><init>()V,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_IMAGE_CAPTURE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_IMAGE_CAPTURE_SECURE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_PICK_IMAGES:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_PICK_IMAGES_SETTINGS:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_REVIEW:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_REVIEW_SECURE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_USER_SELECT_IMAGES_FOR_APP:Ljava/lang/String;,sdk,system-api,test-api
Landroid/provider/MediaStore;->ACTION_VIDEO_CAPTURE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->AUTHORITY:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->AUTHORITY_LEGACY:Ljava/lang/String;,sdk,system-api,test-api
Landroid/provider/MediaStore;->AUTHORITY_LEGACY_URI:Landroid/net/Uri;,sdk,system-api,test-api
Landroid/provider/MediaStore;->AUTHORITY_URI:Landroid/net/Uri;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_ACCEPT_ORIGINAL_MEDIA_FORMAT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_BRIGHTNESS:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_DURATION_LIMIT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_FINISH_ON_COMPLETION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_FULL_SCREEN:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_ALBUM:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_ARTIST:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_CAPABILITIES:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_CAPABILITIES_UID:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_FOCUS:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_GENRE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_PLAYLIST:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_RADIO_CHANNEL:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_MEDIA_TITLE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_OUTPUT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_PICK_IMAGES_IN_ORDER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_PICK_IMAGES_MAX:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_SCREEN_ORIENTATION:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_SHOW_ACTION_ICONS:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_SIZE_LIMIT:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->EXTRA_VIDEO_QUALITY:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_MEDIA_PLAY_FROM_SEARCH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_MEDIA_SEARCH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_MUSIC_PLAYER:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_STILL_IMAGE_CAMERA:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_STILL_IMAGE_CAMERA_SECURE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_TEXT_OPEN_FROM_SEARCH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_VIDEO_CAMERA:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->INTENT_ACTION_VIDEO_PLAY_FROM_SEARCH:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->MATCH_DEFAULT:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->MATCH_EXCLUDE:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->MATCH_INCLUDE:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->MATCH_ONLY:I,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->MEDIA_IGNORE_FILENAME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->MEDIA_SCANNER_VOLUME:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->META_DATA_REVIEW_GALLERY_PREWARM_SERVICE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->META_DATA_STILL_IMAGE_CAMERA_PREWARM_SERVICE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->PARAM_DELETE_DATA:Ljava/lang/String;,lo-prio,max-target-o
Landroid/provider/MediaStore;->QUERY_ARG_DEFER_SCAN:Ljava/lang/String;,sdk,system-api,test-api
Landroid/provider/MediaStore;->QUERY_ARG_INCLUDE_RECENTLY_UNMOUNTED_VOLUMES:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->QUERY_ARG_MATCH_FAVORITE:Ljava/lang/String;,public-api,sdk,system-api,test-api
Landroid/provider/MediaStore;->QUERY_ARG_MATCH_PENDING:Ljava/lang/String;,public-api,sdk,system-api,test-api
